skill_no,grammar_skills,skill_description,skill_examples
1,Verb 'to be': am/is/are (positive statements),"The verb “to be” is one of the most important verbs in English. At the beginner level (A1), we use it to talk about people, things, places, and feelings.
The verb “to be” changes depending on the subject (the person or thing we are talking about).

Forms of “to be” in the Present:
I am;You are;He / She / It is;We are;They are","1. I am a student.
2. You are my friend.
3. He is a teacher."
2,Verb 'to be': am not/isn't/aren't (negative statements),"The verb “to be” helps us talk about people, things, and situations. When we want to say that something is not true, we use the negative form.

In the present tense, “to be” changes depending on the subject:
I am not
He / She / It isn’t
We / You / They aren’t","1. I am not 30 years old.
2. He isn’t my brother.
3. We aren’t late."
3,Verb 'to be': am I?/is he?/are they? (questions),"We use the verb “to be” to ask questions about people, things, or situations. In questions, the verb comes before the subject.

Forms:
Am I … ?
Is he / she / it … ?
Are we / you / they … ?","1. Am I right?
2. Is he a teacher?
3. Are they from India? "
4,Present Simple: I do/work/like (positive statements with common verbs),"The Present Simple tense is used to talk about things we do regularly, facts, and habits. It is one of the most common tenses in English.
Structure:
For I / you / we / they → use the verb in its basic form (do, work, like).
I work.
You like music.
We play football.
They live in Delhi.

For he / she / it → add -s or -es to the verb.
He works.
She likes chocolate.
It rains a lot.

When do we use Present Simple?

Habits and routines (things we do again and again):
I go to the gym every day.
She works in an office.

Facts and general truths:
Water boils at 100°C.
The sun rises in the east.

Likes and preferences:
I like pizza.
He likes coffee.","1. I work in a school.
2. You like apples.
3. We play cricket on Sundays."
5,Present Simple: don't/doesn't (negative statements),"We use the Present Simple negative to say something does not happen regularly, is not true, or to show dislike.

Structure:

I / you / we / they → don’t + verb
I don’t like coffee.
They don’t play football.
He / she / it → doesn’t + verb

She doesn’t work on Sundays.
It doesn’t rain in summer.

After don’t/doesn’t, the verb is in the base form (no -s).
When do we use it?

Habits that don’t happen:

I don’t go to the gym on Mondays.
He doesn’t eat breakfast.

Things that are not true:

We don’t live in Delhi.
She doesn’t speak Spanish.

Dislikes:

I don’t like tea.
He doesn’t like dancing.","1. I don’t watch TV in the morning.
2. You don’t play cricket.
3. He doesn’t like chocolate."
6,Present Simple: Do you?/Does she? (questions),"Present Simple: Questions (Do you? / Does she?)

We use do and does to make questions in the Present Simple tense. These questions are about habits, daily routines, likes/dislikes, and facts.

Structure:

Do + I / you / we / they + verb … ?

Do you play football?
Do they like music?

Does + he / she / it + verb … ?

Does she work in a school?
Does he eat rice?

The verb is always in the base form (no -s) after do/does.

Short Answers:

Do you like tea?
→ Yes, I do. / No, I don’t.
Does she live in London?
→ Yes, she does. / No, she doesn’t.","1. Do you eat breakfast every day?
2. Do they live in Delhi?
3. Does she speak Hindi?"
7,Present Continuous: I am doing (for actions happening now),"The Present Continuous tense describes actions that are happening right now, at the moment of speaking. It can also describe actions happening around “now” (not always at this exact second).

Structure:

Subject + am/is/are + verb-ing
I am + verb-ing → I am eating.
He/She/It is + verb-ing → She is reading.
We/You/They are + verb-ing → They are playing.","1. I am drinking water now.
2. She is reading a book.
3. They are playing football in the park."
8,Present Continuous: He isn't doing (negative statements),"The Present Continuous negative tells us that an action is not happening now or is not happening around this moment.

Structure:

Subject + am/is/are + not + verb-ing:
I am not + verb-ing → I am not working.
He/She/It is not (isn’t) + verb-ing → He isn’t sleeping.
We/You/They are not (aren’t) + verb-ing → They aren’t playing.
The verb always has -ing.
Isn’t is used with he, she, it.
Aren’t is used with we, you, they.

","1. He isn’t watching TV now.
2. She isn’t listening to music.
3. I am not sleeping."
9,Present Continuous: Are you doing? (questions),"The Present Continuous tense in questions is used to ask about actions that are happening right now, at the moment of speaking, or happening around now (temporary actions). It helps us check if something is true in the present moment.

In English, when we make a question in this tense, the verb am/is/are comes before the subject.

Structure:

Am/Is/Are + subject + verb-ing … ?
Am I … ? → Am I speaking clearly?
Is he/she/it … ? → Is he watching TV?
Are we/you/they … ? → Are you listening?

When do we use it?

To ask about actions happening now:

Are you doing your homework now?
Is she reading a book at the moment?

To ask about temporary actions happening around this time:
Are they staying at a hotel this week?
Is he working on a new project these days?

To check if something is happening today/this week:
Are we meeting your friends today?
Is it raining outside?","1. Are you listening to me now?
2. Are they studying English today?
3. Are you playing with your friends? 
4. Are you eating lunch now?"
10,"Possessive Adjectives: my, your, his, her, its, our, their","Possessive adjectives show that something belongs to someone or something. They come before a noun and tell us whose it is.

The Possessive Adjectives:

my → belonging to me
your → belonging to you
his → belonging to him
her → belonging to her
its → belonging to an animal or a thing
our → belonging to us
their → belonging to them

How to use them-

Before nouns:
This is my book.
That is her bag.

To show relationships:

He is my friend.
They are our parents.

To show ownership of objects or animals:

That is his car.
The dog is eating its food.","1. This is my phone.
2. He is driving his car.
3. The children are playing with their toys.
4. Your bag is on the table.
5. Her name is Rani.
6. The dog is eating its food.
7. Our house is big."
